ID,NI,CI,HI,WI,NO,DO,HO,WO,HK,WK,HPTOP,HPBOTTOM,WPLEFT,WPRIGHT,HS,WS,HD,WD,GROUP,BIAS
30,1,2048,8,8,1,512,8,8,1,1,0,0,0,0,1,1,1,1,1,512
31,1,256,16,16,1,768,16,16,1,1,0,0,0,0,1,1,1,1,1,768
32,1,512,16,16,1,1536,16,16,1,1,0,0,0,0,1,1,1,1,1,1536
33,1,512,8,8,1,1536,8,8,1,1,0,0,0,0,1,1,1,1,1,1536
34,1,128,32,32,1,384,32,32,1,1,0,0,0,0,1,1,1,1,1,384
35,1,128,56,56,1,256,56,56,1,1,0,0,0,0,1,1,1,1,1,256
36,1,256,56,56,1,128,56,56,1,1,0,0,0,0,1,1,1,1,1,128
37,1,128,56,56,1,512,56,56,1,1,0,0,0,0,1,1,1,1,1,512
38,1,512,56,56,1,128,56,56,1,1,0,0,0,0,1,1,1,1,1,128
39,1,256,28,28,1,512,28,28,1,1,0,0,0,0,1,1,1,1,1,512
40,1,512,28,28,1,256,28,28,1,1,0,0,0,0,1,1,1,1,1,256
41,1,256,28,28,1,1024,28,28,1,1,0,0,0,0,1,1,1,1,1,1024
42,1,1024,28,28,1,256,28,28,1,1,0,0,0,0,1,1,1,1,1,256
43,1,96,56,56,1,192,56,56,1,1,0,0,0,0,1,1,1,1,1,192
44,1,192,56,56,1,96,56,56,1,1,0,0,0,0,1,1,1,1,1,96
45,1,96,56,56,1,384,56,56,1,1,0,0,0,0,1,1,1,1,1,384
46,1,384,56,56,1,96,56,56,1,1,0,0,0,0,1,1,1,1,1,96
47,1,192,28,28,1,384,28,28,1,1,0,0,0,0,1,1,1,1,1,384
48,1,384,28,28,1,192,28,28,1,1,0,0,0,0,1,1,1,1,1,192
49,1,192,28,28,1,768,28,28,1,1,0,0,0,0,1,1,1,1,1,768
50,1,768,28,28,1,192,28,28,1,1,0,0,0,0,1,1,1,1,1,192
51,1,64,56,56,1,128,56,56,1,1,0,0,0,0,1,1,1,1,1,128
52,1,128,56,56,1,64,56,56,1,1,0,0,0,0,1,1,1,1,1,64
53,1,64,56,56,1,256,56,56,1,1,0,0,0,0,1,1,1,1,1,256
54,1,256,56,56,1,64,56,56,1,1,0,0,0,0,1,1,1,1,1,64
55,1,128,28,28,1,256,28,28,1,1,0,0,0,0,1,1,1,1,1,256
56,1,256,28,28,1,128,28,28,1,1,0,0,0,0,1,1,1,1,1,128
57,1,128,28,28,1,512,28,28,1,1,0,0,0,0,1,1,1,1,1,512
58,1,512,28,28,1,128,28,28,1,1,0,0,0,0,1,1,1,1,1,128
59,1,64,56,56,1,96,56,56,1,1,0,0,0,0,1,1,1,1,1,96
60,1,64,112,112,1,384,112,112,1,1,0,0,0,0,1,1,1,1,1,384
61,1,384,1,1,1,24,1,1,1,1,0,0,0,0,1,1,1,1,1,24
62,1,24,1,1,1,384,1,1,1,1,0,0,0,0,1,1,1,1,1,384
63,1,384,56,56,1,96,56,56,1,1,0,0,0,0,1,1,1,1,1,96
64,1,96,28,28,1,192,28,28,1,1,0,0,0,0,1,1,1,1,1,192
65,1,96,56,56,1,768,56,56,1,1,0,0,0,0,1,1,1,1,1,768
66,1,768,1,1,1,48,1,1,1,1,0,0,0,0,1,1,1,1,1,48
67,1,48,1,1,1,768,1,1,1,1,0,0,0,0,1,1,1,1,1,768
68,1,768,28,28,1,192,28,28,1,1,0,0,0,0,1,1,1,1,1,192
69,1,192,14,14,1,384,14,14,1,1,0,0,0,0,1,1,1,1,1,384
70,1,192,14,14,1,1152,14,14,1,1,0,0,0,0,1,1,1,1,1,1152
71,1,384,14,14,1,384,14,14,1,1,0,0,0,0,1,1,1,1,1,384
72,1,384,14,14,1,1536,14,14,1,1,0,0,0,0,1,1,1,1,1,1536
73,1,1536,14,14,1,384,14,14,1,1,0,0,0,0,1,1,1,1,1,384
74,1,384,14,14,1,1152,14,14,1,1,0,0,0,0,1,1,1,1,1,1152
75,1,384,7,7,1,768,7,7,1,1,0,0,0,0,1,1,1,1,1,768
76,1,384,7,7,1,2304,7,7,1,1,0,0,0,0,1,1,1,1,1,2304
77,1,768,7,7,1,768,7,7,1,1,0,0,0,0,1,1,1,1,1,768
78,1,768,7,7,1,3072,7,7,1,1,0,0,0,0,1,1,1,1,1,3072
79,1,3072,7,7,1,768,7,7,1,1,0,0,0,0,1,1,1,1,1,768
80,1,768,7,7,1,2304,7,7,1,1,0,0,0,0,1,1,1,1,1,2304
81,1,64,56,56,1,96,56,56,1,1,0,0,0,0,1,1,1,1,1,96
82,1,256,1,1,1,64,1,1,1,1,0,0,0,0,1,1,1,1,1,64
83,1,64,1,1,1,256,1,1,1,1,0,0,0,0,1,1,1,1,1,256
84,1,256,56,56,1,96,56,56,1,1,0,0,0,0,1,1,1,1,1,96
85,1,384,1,1,1,96,1,1,1,1,0,0,0,0,1,1,1,1,1,96
86,1,96,1,1,1,384,1,1,1,1,0,0,0,0,1,1,1,1,1,384
87,1,96,28,28,1,192,28,28,1,1,0,0,0,0,1,1,1,1,1,192
88,1,96,28,28,1,384,28,28,1,1,0,0,0,0,1,1,1,1,1,384
89,1,768,1,1,1,192,1,1,1,1,0,0,0,0,1,1,1,1,1,192
90,1,192,1,1,1,768,1,1,1,1,0,0,0,0,1,1,1,1,1,768
91,1,192,14,14,1,384,14,14,1,1,0,0,0,0,1,1,1,1,1,384
92,1,192,14,14,1,576,14,14,1,1,0,0,0,0,1,1,1,1,1,576
93,1,384,7,7,1,768,7,7,1,1,0,0,0,0,1,1,1,1,1,768
94,1,384,7,7,1,1152,7,7,1,1,0,0,0,0,1,1,1,1,1,1152
95,1,64,112,112,1,256,112,112,1,1,0,0,0,0,1,1,1,1,1,256
96,1,128,112,112,1,512,112,112,1,1,0,0,0,0,1,1,1,1,1,512
97,1,512,1,1,1,32,1,1,1,1,0,0,0,0,1,1,1,1,1,32
98,1,32,1,1,1,512,1,1,1,1,0,0,0,0,1,1,1,1,1,512
99,1,512,56,56,1,128,56,56,1,1,0,0,0,0,1,1,1,1,1,128
100,1,128,28,28,1,256,28,28,1,1,0,0,0,0,1,1,1,1,1,256
101,1,128,56,56,1,1024,56,56,1,1,0,0,0,0,1,1,1,1,1,1024
102,1,1024,1,1,1,64,1,1,1,1,0,0,0,0,1,1,1,1,1,64
103,1,64,1,1,1,1024,1,1,1,1,0,0,0,0,1,1,1,1,1,1024
104,1,1024,28,28,1,256,28,28,1,1,0,0,0,0,1,1,1,1,1,256
105,1,256,14,14,1,512,14,14,1,1,0,0,0,0,1,1,1,1,1,512
106,1,256,14,14,1,1536,14,14,1,1,0,0,0,0,1,1,1,1,1,1536
107,1,512,14,14,1,512,14,14,1,1,0,0,0,0,1,1,1,1,1,512
108,1,512,14,14,1,2048,14,14,1,1,0,0,0,0,1,1,1,1,1,2048
109,1,2048,14,14,1,512,14,14,1,1,0,0,0,0,1,1,1,1,1,512
110,1,512,14,14,1,1536,14,14,1,1,0,0,0,0,1,1,1,1,1,1536
111,1,512,7,7,1,1024,7,7,1,1,0,0,0,0,1,1,1,1,1,1024
112,1,512,7,7,1,3072,7,7,1,1,0,0,0,0,1,1,1,1,1,3072
113,1,1024,7,7,1,1024,7,7,1,1,0,0,0,0,1,1,1,1,1,1024
114,1,1024,7,7,1,4096,7,7,1,1,0,0,0,0,1,1,1,1,1,4096
115,1,4096,7,7,1,1024,7,7,1,1,0,0,0,0,1,1,1,1,1,1024
116,1,1024,7,7,1,3072,7,7,1,1,0,0,0,0,1,1,1,1,1,3072
117,1,512,1,1,1,128,1,1,1,1,0,0,0,0,1,1,1,1,1,128
118,1,128,1,1,1,512,1,1,1,1,0,0,0,0,1,1,1,1,1,512
119,1,1024,1,1,1,256,1,1,1,1,0,0,0,0,1,1,1,1,1,256
120,1,256,1,1,1,1024,1,1,1,1,0,0,0,0,1,1,1,1,1,1024
121,1,256,14,14,1,768,14,14,1,1,0,0,0,0,1,1,1,1,1,768
122,1,512,7,7,1,1536,7,7,1,1,0,0,0,0,1,1,1,1,1,1536
123,1,192,112,112,1,768,112,112,1,1,0,0,0,0,1,1,1,1,1,768
124,1,768,56,56,1,192,56,56,1,1,0,0,0,0,1,1,1,1,1,192
125,1,192,56,56,1,768,56,56,1,1,0,0,0,0,1,1,1,1,1,768
126,1,192,28,28,1,384,28,28,1,1,0,0,0,0,1,1,1,1,1,384
127,1,192,56,56,1,1536,56,56,1,1,0,0,0,0,1,1,1,1,1,1536
128,1,1536,1,1,1,96,1,1,1,1,0,0,0,0,1,1,1,1,1,96
129,1,96,1,1,1,1536,1,1,1,1,0,0,0,0,1,1,1,1,1,1536
130,1,1536,28,28,1,384,28,28,1,1,0,0,0,0,1,1,1,1,1,384
131,1,384,28,28,1,1536,28,28,1,1,0,0,0,0,1,1,1,1,1,1536
132,1,384,14,14,1,768,14,14,1,1,0,0,0,0,1,1,1,1,1,768
133,1,384,14,14,1,2304,14,14,1,1,0,0,0,0,1,1,1,1,1,2304
134,1,768,14,14,1,768,14,14,1,1,0,0,0,0,1,1,1,1,1,768
135,1,768,14,14,1,3072,14,14,1,1,0,0,0,0,1,1,1,1,1,3072
136,1,3072,14,14,1,768,14,14,1,1,0,0,0,0,1,1,1,1,1,768
137,1,768,14,14,1,2304,14,14,1,1,0,0,0,0,1,1,1,1,1,2304
138,1,768,7,7,1,1536,7,7,1,1,0,0,0,0,1,1,1,1,1,1536
139,1,768,7,7,1,4608,7,7,1,1,0,0,0,0,1,1,1,1,1,4608
140,1,1536,7,7,1,1536,7,7,1,1,0,0,0,0,1,1,1,1,1,1536
141,1,1536,7,7,1,6144,7,7,1,1,0,0,0,0,1,1,1,1,1,6144
142,1,6144,7,7,1,1536,7,7,1,1,0,0,0,0,1,1,1,1,1,1536
143,1,1536,7,7,1,4608,7,7,1,1,0,0,0,0,1,1,1,1,1,4608
144,1,768,56,56,1,192,56,56,1,1,0,0,0,0,1,1,1,1,1,192
145,1,768,28,28,1,384,28,28,1,1,0,0,0,0,1,1,1,1,1,384
146,1,1536,1,1,1,384,1,1,1,1,0,0,0,0,1,1,1,1,1,384
147,1,384,1,1,1,1536,1,1,1,1,0,0,0,0,1,1,1,1,1,1536
148,1,1536,28,28,1,384,28,28,1,1,0,0,0,0,1,1,1,1,1,384
149,1,192,56,56,1,256,56,56,1,1,0,0,0,0,1,1,1,1,1,256
150,1,192,112,112,1,1024,112,112,1,1,0,0,0,0,1,1,1,1,1,1024
151,1,1024,56,56,1,256,56,56,1,1,0,0,0,0,1,1,1,1,1,256
152,1,256,56,56,1,1024,56,56,1,1,0,0,0,0,1,1,1,1,1,1024
153,1,256,28,28,1,512,28,28,1,1,0,0,0,0,1,1,1,1,1,512
154,1,256,56,56,1,2048,56,56,1,1,0,0,0,0,1,1,1,1,1,2048
155,1,2048,1,1,1,128,1,1,1,1,0,0,0,0,1,1,1,1,1,128
156,1,128,1,1,1,2048,1,1,1,1,0,0,0,0,1,1,1,1,1,2048
157,1,2048,28,28,1,512,28,28,1,1,0,0,0,0,1,1,1,1,1,512
158,1,512,28,28,1,2048,28,28,1,1,0,0,0,0,1,1,1,1,1,2048
159,1,512,14,14,1,1280,14,14,1,1,0,0,0,0,1,1,1,1,1,1280
160,1,512,14,14,1,3840,14,14,1,1,0,0,0,0,1,1,1,1,1,3840
161,1,1280,14,14,1,1280,14,14,1,1,0,0,0,0,1,1,1,1,1,1280
162,1,1280,14,14,1,5120,14,14,1,1,0,0,0,0,1,1,1,1,1,5120
163,1,5120,14,14,1,1280,14,14,1,1,0,0,0,0,1,1,1,1,1,1280
164,1,1280,14,14,1,3840,14,14,1,1,0,0,0,0,1,1,1,1,1,3840
165,1,1280,7,7,1,2048,7,7,1,1,0,0,0,0,1,1,1,1,1,2048
166,1,1280,7,7,1,6144,7,7,1,1,0,0,0,0,1,1,1,1,1,6144
167,1,2048,7,7,1,2048,7,7,1,1,0,0,0,0,1,1,1,1,1,2048
168,1,2048,7,7,1,8192,7,7,1,1,0,0,0,0,1,1,1,1,1,8192
169,1,8192,7,7,1,2048,7,7,1,1,0,0,0,0,1,1,1,1,1,2048
170,1,2048,7,7,1,6144,7,7,1,1,0,0,0,0,1,1,1,1,1,6144
171,1,64,28,28,1,128,28,28,1,1,0,0,0,0,1,1,1,1,1,128
172,1,64,28,28,1,256,28,28,1,1,0,0,0,0,1,1,1,1,1,256
173,1,128,14,14,1,256,14,14,1,1,0,0,0,0,1,1,1,1,1,256
174,1,128,14,14,1,512,14,14,1,1,0,0,0,0,1,1,1,1,1,512
175,1,512,14,14,1,256,14,14,1,1,0,0,0,0,1,1,1,1,1,256
176,1,256,14,14,1,256,14,14,1,1,0,0,0,0,1,1,1,1,1,256
177,1,256,14,14,1,1024,14,14,1,1,0,0,0,0,1,1,1,1,1,1024
178,1,1024,14,14,1,256,14,14,1,1,0,0,0,0,1,1,1,1,1,256
179,1,256,7,7,1,512,7,7,1,1,0,0,0,0,1,1,1,1,1,512
180,1,256,7,7,1,1024,7,7,1,1,0,0,0,0,1,1,1,1,1,1024
181,1,1024,7,7,1,512,7,7,1,1,0,0,0,0,1,1,1,1,1,512
182,1,512,7,7,1,512,7,7,1,1,0,0,0,0,1,1,1,1,1,512
183,1,512,7,7,1,2048,7,7,1,1,0,0,0,0,1,1,1,1,1,2048
184,1,2048,7,7,1,512,7,7,1,1,0,0,0,0,1,1,1,1,1,512
185,1,256,56,56,1,64,56,56,1,1,0,0,0,0,1,1,1,1,1,64
186,1,64,28,28,1,128,28,28,1,1,0,0,0,0,1,1,1,1,1,128
187,1,256,28,28,1,128,28,28,1,1,0,0,0,0,1,1,1,1,1,128
188,1,512,28,28,1,128,28,28,1,1,0,0,0,0,1,1,1,1,1,128
189,1,128,14,14,1,256,14,14,1,1,0,0,0,0,1,1,1,1,1,256
190,1,128,14,14,1,384,14,14,1,1,0,0,0,0,1,1,1,1,1,384
191,1,256,7,7,1,512,7,7,1,1,0,0,0,0,1,1,1,1,1,512
192,1,256,7,7,1,768,7,7,1,1,0,0,0,0,1,1,1,1,1,768
193,1,128,192,192,1,512,192,192,1,1,0,0,0,0,1,1,1,1,1,512
194,1,512,96,96,1,128,96,96,1,1,0,0,0,0,1,1,1,1,1,128
195,1,128,96,96,1,512,96,96,1,1,0,0,0,0,1,1,1,1,1,512
196,1,128,48,48,1,256,48,48,1,1,0,0,0,0,1,1,1,1,1,256
197,1,512,48,48,1,256,48,48,1,1,0,0,0,0,1,1,1,1,1,256
198,1,256,48,48,1,1024,48,48,1,1,0,0,0,0,1,1,1,1,1,1024
199,1,1024,48,48,1,256,48,48,1,1,0,0,0,0,1,1,1,1,1,256
200,1,256,24,24,1,512,24,24,1,1,0,0,0,0,1,1,1,1,1,512
201,1,256,24,24,1,768,24,24,1,1,0,0,0,0,1,1,1,1,1,768
202,1,512,24,24,1,2048,24,24,1,1,0,0,0,0,1,1,1,1,1,2048
203,1,2048,24,24,1,512,24,24,1,1,0,0,0,0,1,1,1,1,1,512
204,1,512,24,24,1,1536,24,24,1,1,0,0,0,0,1,1,1,1,1,1536
205,1,512,24,24,1,512,24,24,1,1,0,0,0,0,1,1,1,1,1,512
206,1,512,12,12,1,1024,12,12,1,1,0,0,0,0,1,1,1,1,1,1024
207,1,512,12,12,1,1536,12,12,1,1,0,0,0,0,1,1,1,1,1,1536
208,1,1024,12,12,1,4096,12,12,1,1,0,0,0,0,1,1,1,1,1,4096
209,1,4096,12,12,1,1024,12,12,1,1,0,0,0,0,1,1,1,1,1,1024
210,1,1024,12,12,1,3072,12,12,1,1,0,0,0,0,1,1,1,1,1,3072
211,1,1024,12,12,1,1024,12,12,1,1,0,0,0,0,1,1,1,1,1,1024
212,1,64,56,56,1,256,56,56,1,1,0,0,0,0,1,1,1,1,1,256
213,1,128,28,28,1,512,28,28,1,1,0,0,0,0,1,1,1,1,1,512
214,1,512,14,14,1,1024,14,14,1,1,0,0,0,0,1,1,1,1,1,1024
215,1,1024,14,14,1,512,14,14,1,1,0,0,0,0,1,1,1,1,1,512
216,1,512,14,14,1,2048,14,14,1,1,0,0,0,0,1,1,1,1,1,2048
217,1,2048,14,14,1,512,14,14,1,1,0,0,0,0,1,1,1,1,1,512
218,1,768,7,7,1,1536,7,7,1,1,0,0,0,0,1,1,1,1,1,1536
219,1,1536,7,7,1,768,7,7,1,1,0,0,0,0,1,1,1,1,1,768
220,1,768,7,7,1,3072,7,7,1,1,0,0,0,0,1,1,1,1,1,3072
221,1,3072,7,7,1,768,7,7,1,1,0,0,0,0,1,1,1,1,1,768
222,1,384,14,14,1,768,14,14,1,1,0,0,0,0,1,1,1,1,1,768
223,1,768,14,14,1,384,14,14,1,1,0,0,0,0,1,1,1,1,1,384
224,1,384,14,14,1,1536,14,14,1,1,0,0,0,0,1,1,1,1,1,1536
225,1,1536,14,14,1,384,14,14,1,1,0,0,0,0,1,1,1,1,1,384
226,1,576,7,7,1,1152,7,7,1,1,0,0,0,0,1,1,1,1,1,1152
227,1,1152,7,7,1,576,7,7,1,1,0,0,0,0,1,1,1,1,1,576
228,1,576,7,7,1,2304,7,7,1,1,0,0,0,0,1,1,1,1,1,2304
229,1,2304,7,7,1,576,7,7,1,1,0,0,0,0,1,1,1,1,1,576
230,1,320,14,14,1,640,14,14,1,1,0,0,0,0,1,1,1,1,1,640
231,1,640,14,14,1,320,14,14,1,1,0,0,0,0,1,1,1,1,1,320
232,1,320,14,14,1,1280,14,14,1,1,0,0,0,0,1,1,1,1,1,1280
233,1,1280,14,14,1,320,14,14,1,1,0,0,0,0,1,1,1,1,1,320
234,1,512,7,7,1,1024,7,7,1,1,0,0,0,0,1,1,1,1,1,1024
235,1,512,7,7,1,2048,7,7,1,1,0,0,0,0,1,1,1,1,1,2048
236,1,2048,7,7,1,512,7,7,1,1,0,0,0,0,1,1,1,1,1,512
237,1,768,32,32,1,768,32,32,1,1,0,0,0,0,1,1,1,1,1,768
238,1,1024,16,16,1,1024,16,16,1,1,0,0,0,0,1,1,1,1,1,1024
239,1,1536,32,32,1,1536,32,32,1,1,0,0,0,0,1,1,1,1,1,1536
240,1,40,56,56,1,160,56,56,1,1,0,0,0,0,1,1,1,1,1,160
241,1,160,56,56,1,40,56,56,1,1,0,0,0,0,1,1,1,1,1,40
242,1,80,28,28,1,320,28,28,1,1,0,0,0,0,1,1,1,1,1,320
243,1,320,28,28,1,80,28,28,1,1,0,0,0,0,1,1,1,1,1,80
244,1,160,14,14,1,640,14,14,1,1,0,0,0,0,1,1,1,1,1,640
245,1,640,14,14,1,160,14,14,1,1,0,0,0,0,1,1,1,1,1,160
246,1,320,7,7,1,1280,7,7,1,1,0,0,0,0,1,1,1,1,1,1280
247,1,1280,7,7,1,320,7,7,1,1,0,0,0,0,1,1,1,1,1,320
248,1,48,56,56,1,192,56,56,1,1,0,0,0,0,1,1,1,1,1,192
249,1,192,56,56,1,48,56,56,1,1,0,0,0,0,1,1,1,1,1,48
250,1,96,28,28,1,384,28,28,1,1,0,0,0,0,1,1,1,1,1,384
251,1,384,28,28,1,96,28,28,1,1,0,0,0,0,1,1,1,1,1,96
252,1,192,14,14,1,768,14,14,1,1,0,0,0,0,1,1,1,1,1,768
253,1,768,14,14,1,192,14,14,1,1,0,0,0,0,1,1,1,1,1,192
254,1,384,7,7,1,1536,7,7,1,1,0,0,0,0,1,1,1,1,1,1536
255,1,1536,7,7,1,384,7,7,1,1,0,0,0,0,1,1,1,1,1,384
256,1,80,56,56,1,320,56,56,1,1,0,0,0,0,1,1,1,1,1,320
257,1,320,56,56,1,80,56,56,1,1,0,0,0,0,1,1,1,1,1,80
258,1,160,28,28,1,640,28,28,1,1,0,0,0,0,1,1,1,1,1,640
259,1,640,28,28,1,160,28,28,1,1,0,0,0,0,1,1,1,1,1,160
260,1,320,14,14,1,1280,14,14,1,1,0,0,0,0,1,1,1,1,1,1280
261,1,1280,14,14,1,320,14,14,1,1,0,0,0,0,1,1,1,1,1,320
262,1,640,7,7,1,2560,7,7,1,1,0,0,0,0,1,1,1,1,1,2560
263,1,2560,7,7,1,640,7,7,1,1,0,0,0,0,1,1,1,1,1,640
264,1,96,56,56,1,384,56,56,1,1,0,0,0,0,1,1,1,1,1,384
265,1,192,28,28,1,768,28,28,1,1,0,0,0,0,1,1,1,1,1,768
266,1,32,56,56,1,128,56,56,1,1,0,0,0,0,1,1,1,1,1,128
267,1,128,56,56,1,32,56,56,1,1,0,0,0,0,1,1,1,1,1,32
268,1,64,28,28,1,256,28,28,1,1,0,0,0,0,1,1,1,1,1,256
269,1,256,28,28,1,64,28,28,1,1,0,0,0,0,1,1,1,1,1,64
270,1,128,14,14,1,512,14,14,1,1,0,0,0,0,1,1,1,1,1,512
271,1,512,14,14,1,128,14,14,1,1,0,0,0,0,1,1,1,1,1,128
272,1,256,7,7,1,1024,7,7,1,1,0,0,0,0,1,1,1,1,1,1024
273,1,1024,7,7,1,256,7,7,1,1,0,0,0,0,1,1,1,1,1,256
274,1,64,64,64,1,128,64,64,1,1,0,0,0,0,1,1,1,1,1,128
275,1,128,64,64,1,128,64,64,1,1,0,0,0,0,1,1,1,1,1,128
276,1,128,32,32,1,256,32,32,1,1,0,0,0,0,1,1,1,1,1,256
277,1,128,32,32,1,128,32,32,1,1,0,0,0,0,1,1,1,1,1,128
278,1,256,32,32,1,256,32,32,1,1,0,0,0,0,1,1,1,1,1,256
279,1,256,16,16,1,512,16,16,1,1,0,0,0,0,1,1,1,1,1,512
280,1,256,16,16,1,256,16,16,1,1,0,0,0,0,1,1,1,1,1,256
281,1,512,16,16,1,512,16,16,1,1,0,0,0,0,1,1,1,1,1,512
282,1,512,8,8,1,1024,8,8,1,1,0,0,0,0,1,1,1,1,1,1024
283,1,512,8,8,1,512,8,8,1,1,0,0,0,0,1,1,1,1,1,512
284,1,1024,8,8,1,1024,8,8,1,1,0,0,0,0,1,1,1,1,1,1024
285,1,48,64,64,1,96,64,64,1,1,0,0,0,0,1,1,1,1,1,96
286,1,48,64,64,1,48,64,64,1,1,0,0,0,0,1,1,1,1,1,48
287,1,96,64,64,1,96,64,64,1,1,0,0,0,0,1,1,1,1,1,96
288,1,96,32,32,1,192,32,32,1,1,0,0,0,0,1,1,1,1,1,192
289,1,96,32,32,1,96,32,32,1,1,0,0,0,0,1,1,1,1,1,96
290,1,192,32,32,1,192,32,32,1,1,0,0,0,0,1,1,1,1,1,192
291,1,192,16,16,1,384,16,16,1,1,0,0,0,0,1,1,1,1,1,384
292,1,192,16,16,1,192,16,16,1,1,0,0,0,0,1,1,1,1,1,192
293,1,384,16,16,1,384,16,16,1,1,0,0,0,0,1,1,1,1,1,384
294,1,384,8,8,1,768,8,8,1,1,0,0,0,0,1,1,1,1,1,768
295,1,384,8,8,1,384,8,8,1,1,0,0,0,0,1,1,1,1,1,384
296,1,768,8,8,1,768,8,8,1,1,0,0,0,0,1,1,1,1,1,768
297,1,32,64,64,1,64,64,64,1,1,0,0,0,0,1,1,1,1,1,64
298,1,32,64,64,1,32,64,64,1,1,0,0,0,0,1,1,1,1,1,32
299,1,64,32,32,1,128,32,32,1,1,0,0,0,0,1,1,1,1,1,128
300,1,64,32,32,1,64,32,32,1,1,0,0,0,0,1,1,1,1,1,64
301,1,128,16,16,1,256,16,16,1,1,0,0,0,0,1,1,1,1,1,256
302,1,128,16,16,1,128,16,16,1,1,0,0,0,0,1,1,1,1,1,128
303,1,256,8,8,1,512,8,8,1,1,0,0,0,0,1,1,1,1,1,512
304,1,256,8,8,1,256,8,8,1,1,0,0,0,0,1,1,1,1,1,256
305,1,80,64,64,1,160,64,64,1,1,0,0,0,0,1,1,1,1,1,160
306,1,80,64,64,1,80,64,64,1,1,0,0,0,0,1,1,1,1,1,80
307,1,160,64,64,1,160,64,64,1,1,0,0,0,0,1,1,1,1,1,160
308,1,160,32,32,1,320,32,32,1,1,0,0,0,0,1,1,1,1,1,320
309,1,160,32,32,1,160,32,32,1,1,0,0,0,0,1,1,1,1,1,160
310,1,320,32,32,1,320,32,32,1,1,0,0,0,0,1,1,1,1,1,320
311,1,320,16,16,1,640,16,16,1,1,0,0,0,0,1,1,1,1,1,640
312,1,320,16,16,1,320,16,16,1,1,0,0,0,0,1,1,1,1,1,320
313,1,640,16,16,1,640,16,16,1,1,0,0,0,0,1,1,1,1,1,640
314,1,640,8,8,1,1280,8,8,1,1,0,0,0,0,1,1,1,1,1,1280
315,1,640,8,8,1,640,8,8,1,1,0,0,0,0,1,1,1,1,1,640
316,1,1280,8,8,1,1280,8,8,1,1,0,0,0,0,1,1,1,1,1,1280
317,1,120,64,64,1,80,64,64,1,1,0,0,0,0,1,1,1,1,1,80
318,1,240,32,32,1,160,32,32,1,1,0,0,0,0,1,1,1,1,1,160
319,1,480,16,16,1,320,16,16,1,1,0,0,0,0,1,1,1,1,1,320
320,1,960,8,8,1,640,8,8,1,1,0,0,0,0,1,1,1,1,1,640
321,1,120,1,1,1,32,1,1,1,1,0,0,0,0,1,1,1,1,1,32
322,1,32,1,1,1,120,1,1,1,1,0,0,0,0,1,1,1,1,1,120
